point,x,y,z
point_159,1588894.5,6803956.0,0.6
point_160,1588894.25,6803953.0,0.6
point_161,1588893.75,6803950.0,0.6
point_162,1588893.5,6803947.5,0.6
point_163,1588893.125,6803944.0,0.6
point_164,1588892.625,6803941.0,0.6
point_165,1588892.25,6803938.0,0.6
point_166,1588891.75,6803935.5,0.6
point_167,1588891.5,6803932.0,0.6
point_168,1588891.125,6803929.0,0.6
point_169,1588890.625,6803926.0,0.6
point_170,1588890.25,6803923.0,0.6
point_171,1588889.75,6803920.0,0.6
point_172,1588889.5,6803917.0,0.6
point_173,1588889.125,6803913.5,0.6
point_174,1588888.625,6803911.0,0.6
point_175,1588888.25,6803907.5,0.6
point_176,1588887.75,6803905.0,0.6
point_177,1588887.5,6803901.5,0.6
point_178,1588887.125,6803899.0,0.6
point_179,1588886.625,6803895.5,0.6
point_180,1588886.25,6803893.0,0.6
point_181,1588885.75,6803889.5,0.6
point_182,1588885.5,6803887.0,0.6
point_183,1588885.125,6803883.5,0.6
point_184,1588884.625,6803880.0,0.6
point_185,1588902.0,6803989.0,0.6
point_186,1588901.5,6803986.0,0.6
point_187,1588901.25,6803983.5,0.6
point_188,1588900.75,6803980.0,0.6
point_189,1588900.25,6803977.0,0.6
point_190,1588900.0,6803974.0,0.6
point_191,1588899.5,6803971.5,0.6
point_192,1588899.25,6803968.0,0.6
point_193,1588898.75,6803965.0,0.6
point_194,1588898.25,6803962.0,0.6
point_195,1588898.0,6803959.0,0.6
point_196,1588897.5,6803956.0,0.6
point_197,1588897.25,6803953.0,0.6
point_198,1588896.75,6803949.5,0.6
point_199,1588896.25,6803947.0,0.6
point_200,1588896.0,6803943.5,0.6
point_201,1588895.5,6803941.0,0.6
point_202,1588895.25,6803937.5,0.6
point_203,1588894.75,6803935.0,0.6
point_204,1588894.25,6803931.5,0.6
point_205,1588894.0,6803929.0,0.6
point_206,1588893.5,6803925.5,0.6
point_207,1588893.25,6803923.0,0.6
point_208,1588892.75,6803919.5,0.6
point_209,1588892.25,6803917.0,0.6
point_210,1588892.0,6803913.5,0.6
point_211,1588891.5,6803910.0,0.6
point_212,1588891.25,6803907.5,0.6
point_213,1588890.75,6803904.0,0.6
point_214,1588890.25,6803901.0,0.6
point_215,1588890.0,6803898.0,0.6
point_216,1588889.5,6803895.5,0.6
point_217,1588889.25,6803892.0,0.6
point_218,1588888.75,6803889.0,0.6
point_219,1588888.25,6803886.0,0.6
point_220,1588888.125,6803883.5,0.6
point_221,1588887.625,6803880.0,0.6
point_222,1588905.0,6803989.0,0.6
