x1,y1,z1,x2,y2,z2
1588938.44112,6803809.67854,-4.4408920985e-16,1588938.73112,6803808.75854,-4.4408920985e-16
1588938.73112,6803808.75854,-4.4408920985e-16,1588945.17112,6803807.29854,-4.4408920985e-16
1588945.17112,6803807.29854,-4.4408920985e-16,1588944.22112,6803803.89854,-4.4408920985e-16
1588944.22112,6803803.89854,-4.4408920985e-16,1588944.99112,6803803.68854,-4.4408920985e-16
1588944.99112,6803803.68854,-4.4408920985e-16,1588944.06112,6803800.35854,-4.4408920985e-16
1588944.06112,6803800.35854,-4.4408920985e-16,1588942.43112,6803800.81854,-4.4408920985e-16
1588942.43112,6803800.81854,-4.4408920985e-16,1588940.81112,6803795.02854,-4.4408920985e-16
1588940.81112,6803795.02854,-4.4408920985e-16,1588935.01112,6803796.64854,4.4408920985e-16
1588935.01112,6803796.64854,4.4408920985e-16,1588934.79112,6803795.85854,-4.4408920985e-16
1588934.79112,6803795.85854,-4.4408920985e-16,1588931.34112,6803796.82854,4.4408920985e-16
1588931.34112,6803796.82854,4.4408920985e-16,1588931.81112,6803798.53854,4.4408920985e-16
1588931.81112,6803798.53854,4.4408920985e-16,1588928.87112,6803799.35854,4.4408920985e-16
1588928.87112,6803799.35854,4.4408920985e-16,1588928.40112,6803797.69854,-4.4408920985e-16
1588928.40112,6803797.69854,-4.4408920985e-16,1588924.92112,6803798.66854,-4.4408920985e-16
1588924.92112,6803798.66854,-4.4408920985e-16,1588925.12112,6803799.39854,4.4408920985e-16
1588925.12112,6803799.39854,4.4408920985e-16,1588919.36112,6803801.00854,-4.4408920985e-16
1588919.36112,6803801.00854,-4.4408920985e-16,1588920.96112,6803806.74854,-4.4408920985e-16
1588920.96112,6803806.74854,-4.4408920985e-16,1588919.45112,6803807.16854,4.4408920985e-16
1588919.45112,6803807.16854,4.4408920985e-16,1588920.40112,6803810.55854,-4.4408920985e-16
1588920.40112,6803810.55854,-4.4408920985e-16,1588920.87112,6803810.42854,-4.4408920985e-16
1588920.87112,6803810.42854,-4.4408920985e-16,1588921.78112,6803813.67854,4.4408920985e-16
1588921.78112,6803813.67854,4.4408920985e-16,1588928.42112,6803811.81854,-4.4408920985e-16
1588928.42112,6803811.81854,-4.4408920985e-16,1588928.92112,6803812.46854,-4.4408920985e-16
1588928.92112,6803812.46854,-4.4408920985e-16,1588929.72112,6803812.29854,-4.4408920985e-16
1588929.72112,6803812.29854,-4.4408920985e-16,1588930.76112,6803816.46854,-4.4408920985e-16
1588930.76112,6803816.46854,-4.4408920985e-16,1588929.91112,6803816.68854,-4.4408920985e-16
1588965.19112,6803806.64854,-4.4408920985e-16,1588964.93112,6803807.10854,-4.4408920985e-16
1588964.93112,6803807.10854,-4.4408920985e-16,1588958.44112,6803808.97854,4.4408920985e-16
1588958.44112,6803808.97854,4.4408920985e-16,1588959.33112,6803812.05854,-4.4408920985e-16
1588959.33112,6803812.05854,-4.4408920985e-16,1588958.70112,6803812.23854,4.4408920985e-16
1588958.70112,6803812.23854,4.4408920985e-16,1588959.70112,6803815.70854,4.4408920985e-16
1588959.70112,6803815.70854,4.4408920985e-16,1588961.18112,6803815.28854,-4.4408920985e-16
1588961.18112,6803815.28854,-4.4408920985e-16,1588962.90112,6803821.22854,4.4408920985e-16
1588962.90112,6803821.22854,4.4408920985e-16,1588968.71112,6803819.54854,4.4408920985e-16
1588968.71112,6803819.54854,4.4408920985e-16,1588968.92112,6803820.28854,-4.4408920985e-16
1588968.92112,6803820.28854,-4.4408920985e-16,1588972.28112,6803819.32854,4.4408920985e-16
1588972.28112,6803819.32854,4.4408920985e-16,1588971.79112,6803817.63854,-4.4408920985e-16
1588971.79112,6803817.63854,-4.4408920985e-16,1588974.94112,6803816.72854,-4.4408920985e-16
1588974.94112,6803816.72854,-4.4408920985e-16,1588975.47112,6803818.55854,-4.4408920985e-16
1588975.47112,6803818.55854,-4.4408920985e-16,1588978.84112,6803817.57854,-4.4408920985e-16
1588978.84112,6803817.57854,-4.4408920985e-16,1588978.61112,6803816.76854,4.4408920985e-16
1588978.61112,6803816.76854,4.4408920985e-16,1588984.41112,6803815.08854,4.4408920985e-16
1588984.41112,6803815.08854,4.4408920985e-16,1588982.77112,6803809.42854,-4.4408920985e-16
1588982.77112,6803809.42854,-4.4408920985e-16,1588984.36112,6803808.96854,-4.4408920985e-16
1588984.36112,6803808.96854,-4.4408920985e-16,1588983.40112,6803805.63854,4.4408920985e-16
1588983.40112,6803805.63854,4.4408920985e-16,1588982.73112,6803805.83854,-4.4408920985e-16
1588982.73112,6803805.83854,-4.4408920985e-16,1588981.77112,6803802.51854,4.4408920985e-16
1588981.77112,6803802.51854,4.4408920985e-16,1588975.47112,6803804.32854,4.4408920985e-16
1588975.47112,6803804.32854,4.4408920985e-16,1588974.91112,6803803.78854,4.4408920985e-16
1588974.91112,6803803.78854,4.4408920985e-16,1588974.33112,6803803.92854,-4.4408920985e-16
1588974.33112,6803803.92854,-4.4408920985e-16,1588974.21112,6803803.49854,-8.881784197e-16
1588974.21112,6803803.49854,-8.881784197e-16,1588973.38112,6803800.37854,-8.881784197e-16
1588973.38112,6803800.37854,-8.881784197e-16,1588973.31112,6803800.11854,-4.4408920985e-16
1588973.31112,6803800.11854,-4.4408920985e-16,1588973.23112,6803799.79854,4.4408920985e-16
1588973.23112,6803799.79854,4.4408920985e-16,1588973.72112,6803799.63854,4.4408920985e-16
1588973.72112,6803799.63854,4.4408920985e-16,1588974.01112,6803798.71854,-4.4408920985e-16
1588974.01112,6803798.71854,-4.4408920985e-16,1588980.45112,6803797.25854,4.4408920985e-16
1588980.45112,6803797.25854,4.4408920985e-16,1588979.50112,6803793.85854,-4.4408920985e-16
1588979.50112,6803793.85854,-4.4408920985e-16,1588980.27112,6803793.64854,4.4408920985e-16
1588980.27112,6803793.64854,4.4408920985e-16,1588979.34112,6803790.31854,4.4408920985e-16
1588979.34112,6803790.31854,4.4408920985e-16,1588977.71112,6803790.77854,4.4408920985e-16
1588977.71112,6803790.77854,4.4408920985e-16,1588976.09112,6803784.98854,-4.4408920985e-16
1588976.09112,6803784.98854,-4.4408920985e-16,1588970.29112,6803786.60854,4.4408920985e-16
1588970.29112,6803786.60854,4.4408920985e-16,1588970.07112,6803785.81854,-4.4408920985e-16
1588970.07112,6803785.81854,-4.4408920985e-16,1588966.62112,6803786.78854,-4.4408920985e-16
1588966.62112,6803786.78854,-4.4408920985e-16,1588967.09112,6803788.49854,4.4408920985e-16
1588967.09112,6803788.49854,4.4408920985e-16,1588964.15112,6803789.31854,-4.4408920985e-16
1588964.15112,6803789.31854,-4.4408920985e-16,1588963.68112,6803787.65854,-4.4408920985e-16
1588963.68112,6803787.65854,-4.4408920985e-16,1588960.20112,6803788.62854,-4.4408920985e-16
1588960.20112,6803788.62854,-4.4408920985e-16,1588960.40112,6803789.35854,-4.4408920985e-16
1588960.40112,6803789.35854,-4.4408920985e-16,1588954.64112,6803790.96854,4.4408920985e-16
1588954.64112,6803790.96854,4.4408920985e-16,1588956.24112,6803796.70854,-4.4408920985e-16
1588956.24112,6803796.70854,-4.4408920985e-16,1588954.73112,6803797.12854,-4.4408920985e-16
1588954.73112,6803797.12854,-4.4408920985e-16,1588955.68112,6803800.51854,-4.4408920985e-16
1588955.68112,6803800.51854,-4.4408920985e-16,1588956.15112,6803800.38854,4.4408920985e-16
1588956.15112,6803800.38854,4.4408920985e-16,1588957.06112,6803803.63854,4.4408920985e-16
1588957.06112,6803803.63854,4.4408920985e-16,1588963.70112,6803801.77854,4.4408920985e-16
1588963.70112,6803801.77854,4.4408920985e-16,1588964.20112,6803802.42854,-4.4408920985e-16
1588964.20112,6803802.42854,-4.4408920985e-16,1588965.00112,6803802.25854,4.4408920985e-16
1588965.00112,6803802.25854,4.4408920985e-16,1588966.04112,6803806.42854,4.4408920985e-16
1588966.04112,6803806.42854,4.4408920985e-16,1588965.19112,6803806.64854,-4.4408920985e-16
1589039.31112,6803775.49854,0.0,1588989.40112,6803782.35854,0.0
1588989.40112,6803782.35854,0.0,1588990.48112,6803790.55854,0.0
1588990.48112,6803790.55854,0.0,1588994.11112,6803790.04854,0.0
1588994.11112,6803790.04854,0.0,1588994.24112,6803791.04854,0.0
1588994.24112,6803791.04854,0.0,1588994.82112,6803790.94854,0.0
1588994.82112,6803790.94854,0.0,1588995.02112,6803792.40854,0.0
1588995.02112,6803792.40854,0.0,1588994.41112,6803792.50854,0.0
1588994.41112,6803792.50854,0.0,1588994.55112,6803793.68854,0.0
1588994.55112,6803793.68854,0.0,1588991.06112,6803794.12854,0.0
1588991.06112,6803794.12854,0.0,1588991.69112,6803799.29854,0.0
1588991.69112,6803799.29854,0.0,1588992.16112,6803802.68854,0.0
1588992.16112,6803802.68854,0.0,1588995.89112,6803802.14854,0.0
1588995.89112,6803802.14854,0.0,1588996.00112,6803802.90854,0.0
1588996.00112,6803802.90854,0.0,1589004.94112,6803801.69854,0.0
1589004.94112,6803801.69854,0.0,1589004.86112,6803800.87854,-2.22044604925e-16
1589004.86112,6803800.87854,-2.22044604925e-16,1589011.77112,6803799.99854,0.0
1589011.77112,6803799.99854,0.0,1589011.85112,6803800.74854,0.0
1589011.85112,6803800.74854,0.0,1589020.83112,6803799.46854,0.0
1589020.83112,6803799.46854,0.0,1589020.73112,6803798.67854,0.0
1589020.73112,6803798.67854,0.0,1589027.58112,6803797.67854,0.0
1589027.58112,6803797.67854,0.0,1589027.70112,6803798.42854,0.0
1589027.70112,6803798.42854,0.0,1589031.92112,6803797.93854,0.0
1589031.92112,6803797.93854,0.0,1589035.11112,6803800.89854,0.0
1589035.11112,6803800.89854,0.0,1589035.62112,6803800.31854,0.0
1589035.62112,6803800.31854,0.0,1589038.26112,6803802.77854,0.0
1589038.26112,6803802.77854,0.0,1589040.46112,6803800.52854,0.0
1589040.46112,6803800.52854,0.0,1589043.90112,6803796.89854,0.0
1589043.90112,6803796.89854,0.0,1589040.47112,6803793.55854,0.0
1589040.47112,6803793.55854,0.0,1589042.68112,6803791.24854,0.0
1589042.68112,6803791.24854,0.0,1589043.55112,6803792.05854,0.0
1589043.55112,6803792.05854,0.0,1589044.13112,6803791.43854,0.0
1589044.13112,6803791.43854,0.0,1589046.76112,6803794.01854,0.0
1589046.76112,6803794.01854,0.0,1589052.51112,6803788.00854,0.0
1589052.51112,6803788.00854,0.0,1589039.31112,6803775.49854,0.0
1589036.93112,6803809.55854,0.0,1589034.51112,6803811.42854,0.0
1589034.51112,6803811.42854,0.0,1589036.49112,6803814.09854,0.0
1589036.49112,6803814.09854,0.0,1589039.61112,6803818.17854,0.0
1589039.61112,6803818.17854,0.0,1589042.43112,6803815.95854,0.0
1589042.43112,6803815.95854,0.0,1589043.03112,6803816.72854,0.0
1589043.03112,6803816.72854,0.0,1589043.58112,6803816.29854,0.0
1589043.58112,6803816.29854,0.0,1589045.12112,6803818.26854,0.0
1589045.12112,6803818.26854,0.0,1589046.99112,6803816.84854,0.0
1589046.99112,6803816.84854,0.0,1589048.45112,6803818.73854,0.0
1589048.45112,6803818.73854,0.0,1589049.40112,6803817.99854,0.0
1589049.40112,6803817.99854,0.0,1589053.35112,6803823.13854,0.0
1589053.35112,6803823.13854,0.0,1589055.38112,6803821.55854,0.0
1589055.38112,6803821.55854,0.0,1589082.39112,6803800.54854,0.0
1589082.39112,6803800.54854,0.0,1589085.99112,6803800.89854,0.0
1589085.99112,6803800.89854,0.0,1589097.24112,6803811.28854,0.0
1589097.24112,6803811.28854,0.0,1589101.04112,6803814.79854,0.0
1589101.04112,6803814.79854,0.0,1589101.21112,6803814.94854,0.0
1589101.21112,6803814.94854,0.0,1589106.48112,6803809.53854,0.0
1589106.48112,6803809.53854,0.0,1589108.23112,6803811.13854,0.0
1589108.23112,6803811.13854,0.0,1589111.18112,6803807.98854,0.0
1589111.18112,6803807.98854,0.0,1589115.20112,6803811.74854,0.0
1589115.20112,6803811.74854,0.0,1589120.93112,6803805.55854,0.0
1589120.93112,6803805.55854,0.0,1589085.53112,6803772.55854,0.0
1589085.53112,6803772.55854,0.0,1589079.05112,6803777.47854,0.0
1589079.05112,6803777.47854,0.0,1589078.56112,6803776.83854,0.0
1589078.56112,6803776.83854,0.0,1589074.85112,6803779.66854,0.0
1589074.85112,6803779.66854,0.0,1589075.42112,6803780.35854,0.0
1589075.42112,6803780.35854,0.0,1589066.37112,6803787.20854,0.0
1589066.37112,6803787.20854,0.0,1589065.91112,6803786.57854,0.0
1589065.91112,6803786.57854,0.0,1589062.19112,6803789.47854,0.0
1589062.19112,6803789.47854,0.0,1589062.59112,6803789.92854,0.0
1589062.59112,6803789.92854,0.0,1589053.72112,6803796.97854,0.0
1589053.72112,6803796.97854,0.0,1589053.27112,6803796.42854,0.0
1589053.27112,6803796.42854,0.0,1589049.63112,6803799.21854,0.0
1589049.63112,6803799.21854,0.0,1589050.08112,6803799.83854,0.0
1589050.08112,6803799.83854,0.0,1589041.19112,6803806.72854,0.0
1589041.19112,6803806.72854,0.0,1589040.74112,6803806.09854,0.0
1589040.74112,6803806.09854,0.0,1589036.67112,6803809.18854,0.0
1589036.67112,6803809.18854,0.0,1589036.93112,6803809.55854,0.0
1588918.92112,6803853.18854,0.0,1588919.76112,6803859.17854,0.0
1588919.76112,6803859.17854,0.0,1588920.56112,6803864.91854,0.0
1588920.56112,6803864.91854,0.0,1588920.63112,6803865.45854,-4.4408920985e-16
1588920.63112,6803865.45854,-4.4408920985e-16,1588927.18112,6803864.54854,0.0
1588927.18112,6803864.54854,0.0,1588927.14112,6803864.24854,0.0
1588927.14112,6803864.24854,0.0,1588926.32112,6803858.36854,0.0
1588926.32112,6803858.36854,0.0,1588925.47112,6803852.27854,0.0
1588925.47112,6803852.27854,0.0,1588918.92112,6803853.18854,0.0
1588903.42112,6803867.66854,-4.4408920985e-16,1588909.94112,6803866.83854,0.0
1588909.94112,6803866.83854,0.0,1588909.91112,6803866.56854,0.0
1588909.91112,6803866.56854,0.0,1588909.16112,6803860.68854,0.0
1588909.16112,6803860.68854,0.0,1588908.39112,6803854.68854,0.0
1588908.39112,6803854.68854,0.0,1588901.88112,6803855.51854,-4.4408920985e-16
1588901.88112,6803855.51854,-4.4408920985e-16,1588902.68112,6803861.82854,0.0
1588902.68112,6803861.82854,0.0,1588903.42112,6803867.66854,-4.4408920985e-16
1588936.20112,6803850.86854,0.0,1588937.02112,6803856.91854,0.0
1588937.02112,6803856.91854,0.0,1588937.79112,6803862.64854,0.0
1588937.79112,6803862.64854,0.0,1588937.84112,6803863.01854,0.0
1588937.84112,6803863.01854,0.0,1588944.24112,6803862.14854,0.0
1588944.24112,6803862.14854,0.0,1588944.19112,6803861.76854,0.0
1588944.19112,6803861.76854,0.0,1588943.38112,6803855.81854,0.0
1588943.38112,6803855.81854,0.0,1588942.60112,6803850.00854,0.0
1588942.60112,6803850.00854,0.0,1588936.20112,6803850.86854,0.0
1588954.95112,6803860.65854,0.0,1588961.39112,6803859.81854,-4.4408920985e-16
1588961.39112,6803859.81854,-4.4408920985e-16,1588961.36112,6803859.57854,0.0
1588961.36112,6803859.57854,0.0,1588959.79112,6803847.60854,0.0
1588959.79112,6803847.60854,0.0,1588953.35112,6803848.44854,0.0
1588953.35112,6803848.44854,0.0,1588954.91112,6803860.37854,0.0
1588954.91112,6803860.37854,0.0,1588954.95112,6803860.65854,0.0
1588970.44112,6803846.08854,-4.4408920985e-16,1588971.26112,6803852.13854,0.0
1588971.26112,6803852.13854,0.0,1588972.11112,6803858.45854,0.0
1588972.11112,6803858.45854,0.0,1588978.53112,6803857.58854,0.0
1588978.53112,6803857.58854,0.0,1588977.68112,6803851.22854,0.0
1588977.68112,6803851.22854,0.0,1588976.87112,6803845.22854,0.0
1588976.87112,6803845.22854,0.0,1588970.44112,6803846.08854,-4.4408920985e-16
1588989.25112,6803856.07854,0.0,1588995.74112,6803855.21854,4.4408920985e-16
1588995.74112,6803855.21854,4.4408920985e-16,1588994.92112,6803848.98854,0.0
1588994.92112,6803848.98854,0.0,1588994.13112,6803842.96854,0.0
1588994.13112,6803842.96854,0.0,1588987.63112,6803843.81854,0.0
1588987.63112,6803843.81854,0.0,1588988.43112,6803849.84854,0.0
1588988.43112,6803849.84854,0.0,1588989.25112,6803856.07854,0.0
1589012.87112,6803852.93854,-4.4408920985e-16,1589012.05112,6803846.61854,0.0
1589012.05112,6803846.61854,0.0,1589011.24112,6803840.44854,-4.4408920985e-16
1589011.24112,6803840.44854,-4.4408920985e-16,1589004.72112,6803841.29854,0.0
1589004.72112,6803841.29854,0.0,1589005.54112,6803847.57854,0.0
1589005.54112,6803847.57854,0.0,1589006.34112,6803853.78854,4.4408920985e-16
1589006.34112,6803853.78854,4.4408920985e-16,1589012.87112,6803852.93854,-4.4408920985e-16
1589023.50112,6803851.44854,-4.4408920985e-16,1589030.04112,6803850.59854,0.0
1589030.04112,6803850.59854,0.0,1589029.24112,6803844.52854,0.0
1589029.24112,6803844.52854,0.0,1589028.41112,6803838.18854,4.4408920985e-16
1589028.41112,6803838.18854,4.4408920985e-16,1589021.83112,6803839.04854,0.0
1589021.83112,6803839.04854,0.0,1589022.64112,6803845.23854,0.0
1589022.64112,6803845.23854,0.0,1589022.75112,6803846.09854,0.0
1589022.75112,6803846.09854,0.0,1589023.50112,6803851.44854,-4.4408920985e-16
1588913.39748,6803852.18309,4.4408920985e-16,1588914.46112,6803859.93354,4.4408920985e-16
1588914.46112,6803859.93354,4.4408920985e-16,1588919.76112,6803859.17854,0.0
1588919.76112,6803859.17854,0.0,1588918.92112,6803853.18854,-4.4408920985e-16
1588918.92112,6803853.18854,-4.4408920985e-16,1588925.47112,6803852.27854,4.4408920985e-16
1588925.47112,6803852.27854,4.4408920985e-16,1588926.32112,6803858.36854,0.0
1588926.32112,6803858.36854,0.0,1588931.67112,6803857.64354,-4.4408920985e-16
1588931.67112,6803857.64354,-4.4408920985e-16,1588930.59780,6803849.82259,0.0
1588930.59780,6803849.82259,0.0,1588913.39748,6803852.18309,4.4408920985e-16
1589029.24112,6803844.52854,4.4408920985e-16,1589034.08112,6803843.80854,4.4408920985e-16
1589034.08112,6803843.80854,4.4408920985e-16,1589032.90112,6803835.78854,0.0
1589032.90112,6803835.78854,0.0,1589016.26823,6803838.06992,-4.4408920985e-16
1589016.26823,6803838.06992,-4.4408920985e-16,1589017.34612,6803845.92854,0.0
1589017.34612,6803845.92854,0.0,1589022.64112,6803845.23854,0.0
1589022.64112,6803845.23854,0.0,1589021.83112,6803839.04854,0.0
1589021.83112,6803839.04854,0.0,1589028.41112,6803838.18854,0.0
1589028.41112,6803838.18854,0.0,1589029.24112,6803844.52854,4.4408920985e-16
1588999.18615,6803840.41290,0.0,1589000.23112,6803848.28354,4.4408920985e-16
1589000.23112,6803848.28354,4.4408920985e-16,1589005.54112,6803847.57854,0.0
1589005.54112,6803847.57854,0.0,1589004.72112,6803841.29854,-4.4408920985e-16
1589004.72112,6803841.29854,-4.4408920985e-16,1589011.24112,6803840.44854,0.0
1589011.24112,6803840.44854,0.0,1589012.05112,6803846.61854,0.0
1589012.05112,6803846.61854,0.0,1589017.34612,6803845.92854,0.0
1589017.34612,6803845.92854,0.0,1589016.26823,6803838.06992,4.4408920985e-16
1589016.26823,6803838.06992,4.4408920985e-16,1588999.18615,6803840.41290,0.0
1588981.99078,6803842.77143,0.0,1588983.05612,6803850.53854,0.0
1588983.05612,6803850.53854,0.0,1588988.43112,6803849.84854,0.0
1588988.43112,6803849.84854,0.0,1588987.63112,6803843.81854,0.0
1588987.63112,6803843.81854,0.0,1588994.13112,6803842.96854,4.4408920985e-16
1588994.13112,6803842.96854,4.4408920985e-16,1588994.92112,6803848.98854,-4.4408920985e-16
1588994.92112,6803848.98854,-4.4408920985e-16,1589000.23112,6803848.28354,0.0
1589000.23112,6803848.28354,0.0,1588999.18615,6803840.41290,-4.4408920985e-16
1588999.18615,6803840.41290,-4.4408920985e-16,1588981.99078,6803842.77143,0.0
1588964.85494,6803845.12179,0.0,1588965.91612,6803852.85854,0.0
1588965.91612,6803852.85854,0.0,1588971.26112,6803852.13854,-4.4408920985e-16
